ApprovalStatus,Date,proj_id,drug_id
Approved,2022-07-04,d3f992dc-245e-11ee-a984-b05216279b15,ded059c4-245f-11ee-a984-b05216279b15
Approved,2022-07-30,d3f9948a-245e-11ee-a984-b05216279b15,ded05bfe-245f-11ee-a984-b05216279b15
Approved,2022-07-10,d3f99534-245e-11ee-a984-b05216279b15,ded05c9e-245f-11ee-a984-b05216279b15
Approved,2022-06-26,d3f99584-245e-11ee-a984-b05216279b15,ded05d0c-245f-11ee-a984-b05216279b15
Approved,2022-05-31,d3f99624-245e-11ee-a984-b05216279b15,ded05d66-245f-11ee-a984-b05216279b15
Approved,2022-04-05,d3f99854-245e-11ee-a984-b05216279b15,ded05dc0-245f-11ee-a984-b05216279b15
Approved,2022-06-06,d3f998f4-245e-11ee-a984-b05216279b15,ded05e1a-245f-11ee-a984-b05216279b15
Approved,2022-04-04,d3f99bba-245e-11ee-a984-b05216279b15,ded05e74-245f-11ee-a984-b05216279b15
Approved,2022-07-18,d3f99e58-245e-11ee-a984-b05216279b15,ded05ece-245f-11ee-a984-b05216279b15
Approved,2022-06-29,d3fa2e54-245e-11ee-a984-b05216279b15,ded05f32-245f-11ee-a984-b05216279b15
Approved,2022-05-11,d3fa3408-245e-11ee-a984-b05216279b15,ded05fa0-245f-11ee-a984-b05216279b15
Approved,2022-04-05,d3fa35c0-245e-11ee-a984-b05216279b15,ded05ffa-245f-11ee-a984-b05216279b15
Approved,2022-05-22,d3fa3656-245e-11ee-a984-b05216279b15,ded06054-245f-11ee-a984-b05216279b15
Approved,2022-05-28,d3fa3962-245e-11ee-a984-b05216279b15,ded060ae-245f-11ee-a984-b05216279b15
Approved,2022-07-13,d3fa3a02-245e-11ee-a984-b05216279b15,ded06112-245f-11ee-a984-b05216279b15
Approved,2022-05-01,d3fa3aa2-245e-11ee-a984-b05216279b15,ded06194-245f-11ee-a984-b05216279b15
Approved,2022-07-17,d3fa3c96-245e-11ee-a984-b05216279b15,ded06248-245f-11ee-a984-b05216279b15
Approved,2022-07-02,d3fa3e58-245e-11ee-a984-b05216279b15,ded062b6-245f-11ee-a984-b05216279b15
Approved,2022-06-06,d3fa3eee-245e-11ee-a984-b05216279b15,ded06310-245f-11ee-a984-b05216279b15
Approved,2022-04-08,d3fa4196-245e-11ee-a984-b05216279b15,ded0636a-245f-11ee-a984-b05216279b15
Approved,2022-04-20,d3fa4330-245e-11ee-a984-b05216279b15,ded063c4-245f-11ee-a984-b05216279b15
Approved,2022-07-13,d3fa4484-245e-11ee-a984-b05216279b15,ded0641e-245f-11ee-a984-b05216279b15
Approved,2022-04-30,d3fa4524-245e-11ee-a984-b05216279b15,ded06478-245f-11ee-a984-b05216279b15
Approved,2022-05-04,d3fa45c4-245e-11ee-a984-b05216279b15,ded064d2-245f-11ee-a984-b05216279b15
