Name,Quarter,revenue,com_id
Taylor Group,2019Q1,75007730,b43df1d6-245e-11ee-a984-b05216279b15
Taylor Group,2019Q3,137141652,b43df1d6-245e-11ee-a984-b05216279b15
Taylor Group,2019Q4,59599824,b43df1d6-245e-11ee-a984-b05216279b15
Taylor Group,2021Q4,71052464,b43df1d6-245e-11ee-a984-b05216279b15
Taylor Group,2022Q1,84663499,b43df1d6-245e-11ee-a984-b05216279b15
Taylor Group,2022Q3,83691883,b43df1d6-245e-11ee-a984-b05216279b15
Taylor Group,2023Q1,74632273,b43df1d6-245e-11ee-a984-b05216279b15
Taylor Group,2023Q3,132989271,b43df1d6-245e-11ee-a984-b05216279b15
"Smith, Riddle and Wall",2018Q1,116838325,b43e1080-245e-11ee-a984-b05216279b15
"Smith, Riddle and Wall",2018Q2,81317276,b43e1080-245e-11ee-a984-b05216279b15
"Smith, Riddle and Wall",2018Q3,125833110,b43e1080-245e-11ee-a984-b05216279b15
"Smith, Riddle and Wall",2019Q1,74898313,b43e1080-245e-11ee-a984-b05216279b15
"Smith, Riddle and Wall",2019Q3,103767547,b43e1080-245e-11ee-a984-b05216279b15
"Smith, Riddle and Wall",2021Q2,88566825,b43e1080-245e-11ee-a984-b05216279b15
"Smith, Riddle and Wall",2021Q3,121385413,b43e1080-245e-11ee-a984-b05216279b15
"Smith, Riddle and Wall",2022Q1,127613845,b43e1080-245e-11ee-a984-b05216279b15
"Smith, Riddle and Wall",2022Q3,91932961,b43e1080-245e-11ee-a984-b05216279b15
"Smith, Riddle and Wall",2023Q1,134234751,b43e1080-245e-11ee-a984-b05216279b15
"Smith, Riddle and Wall",2023Q3,88969024,b43e1080-245e-11ee-a984-b05216279b15
"Moreno, Hayes and Dougherty",2018Q3,85436051,b43e2b74-245e-11ee-a984-b05216279b15
"Moreno, Hayes and Dougherty",2019Q2,56030439,b43e2b74-245e-11ee-a984-b05216279b15
"Moreno, Hayes and Dougherty",2019Q4,65367364,b43e2b74-245e-11ee-a984-b05216279b15
"Moreno, Hayes and Dougherty",2021Q1,78803531,b43e2b74-245e-11ee-a984-b05216279b15
"Moreno, Hayes and Dougherty",2023Q2,64080677,b43e2b74-245e-11ee-a984-b05216279b15
"Moreno, Hayes and Dougherty",2023Q3,91899292,b43e2b74-245e-11ee-a984-b05216279b15
"Nelson, Gallegos and Turner",2018Q4,96987709,b43e42bc-245e-11ee-a984-b05216279b15
"Nelson, Gallegos and Turner",2020Q2,80880711,b43e42bc-245e-11ee-a984-b05216279b15
"Nelson, Gallegos and Turner",2021Q2,89707866,b43e42bc-245e-11ee-a984-b05216279b15
"Nelson, Gallegos and Turner",2022Q4,50447095,b43e42bc-245e-11ee-a984-b05216279b15
"Nelson, Gallegos and Turner",2023Q1,99427655,b43e42bc-245e-11ee-a984-b05216279b15
"Nelson, Gallegos and Turner",2023Q2,95228274,b43e42bc-245e-11ee-a984-b05216279b15
"Nelson, Gallegos and Turner",2023Q3,93690709,b43e42bc-245e-11ee-a984-b05216279b15
"Patton, Bennett and Gregory",2018Q1,117584192,b43e5bee-245e-11ee-a984-b05216279b15
"Patton, Bennett and Gregory",2018Q3,133173490,b43e5bee-245e-11ee-a984-b05216279b15
"Patton, Bennett and Gregory",2018Q4,51916423,b43e5bee-245e-11ee-a984-b05216279b15
"Patton, Bennett and Gregory",2019Q2,89435948,b43e5bee-245e-11ee-a984-b05216279b15
"Patton, Bennett and Gregory",2021Q2,66156070,b43e5bee-245e-11ee-a984-b05216279b15
"Patton, Bennett and Gregory",2021Q3,74769304,b43e5bee-245e-11ee-a984-b05216279b15
"Patton, Bennett and Gregory",2022Q4,73375948,b43e5bee-245e-11ee-a984-b05216279b15
"Patton, Bennett and Gregory",2023Q3,115974143,b43e5bee-245e-11ee-a984-b05216279b15
"Wong, Lawrence and Hanson",2018Q1,95552049,b43e8100-245e-11ee-a984-b05216279b15
"Wong, Lawrence and Hanson",2018Q3,82391101,b43e8100-245e-11ee-a984-b05216279b15
"Wong, Lawrence and Hanson",2018Q4,96400647,b43e8100-245e-11ee-a984-b05216279b15
"Wong, Lawrence and Hanson",2020Q2,75001127,b43e8100-245e-11ee-a984-b05216279b15
"Wong, Lawrence and Hanson",2020Q3,74887128,b43e8100-245e-11ee-a984-b05216279b15
"Wong, Lawrence and Hanson",2020Q4,67336559,b43e8100-245e-11ee-a984-b05216279b15
"Wong, Lawrence and Hanson",2021Q2,64179190,b43e8100-245e-11ee-a984-b05216279b15
"Wong, Lawrence and Hanson",2021Q3,139393003,b43e8100-245e-11ee-a984-b05216279b15
"Wong, Lawrence and Hanson",2022Q3,139322279,b43e8100-245e-11ee-a984-b05216279b15
"Wong, Lawrence and Hanson",2023Q3,113993614,b43e8100-245e-11ee-a984-b05216279b15
Simmons LLC,2018Q3,122879531,b43e9ab4-245e-11ee-a984-b05216279b15
Simmons LLC,2019Q3,93165265,b43e9ab4-245e-11ee-a984-b05216279b15
Simmons LLC,2019Q4,54485665,b43e9ab4-245e-11ee-a984-b05216279b15
Simmons LLC,2020Q1,101756092,b43e9ab4-245e-11ee-a984-b05216279b15
Simmons LLC,2020Q3,112973035,b43e9ab4-245e-11ee-a984-b05216279b15
Simmons LLC,2021Q1,112162131,b43e9ab4-245e-11ee-a984-b05216279b15
Simmons LLC,2021Q2,64694525,b43e9ab4-245e-11ee-a984-b05216279b15
Simmons LLC,2021Q3,115142620,b43e9ab4-245e-11ee-a984-b05216279b15
Simmons LLC,2022Q2,66442419,b43e9ab4-245e-11ee-a984-b05216279b15
Simmons LLC,2023Q1,90042449,b43e9ab4-245e-11ee-a984-b05216279b15
Simmons LLC,2023Q3,102614708,b43e9ab4-245e-11ee-a984-b05216279b15
"Hoover, Hanson and Diaz",2019Q2,76925939,b43eb47c-245e-11ee-a984-b05216279b15
"Hoover, Hanson and Diaz",2020Q3,77138013,b43eb47c-245e-11ee-a984-b05216279b15
"Hoover, Hanson and Diaz",2020Q4,83298621,b43eb47c-245e-11ee-a984-b05216279b15
"Hoover, Hanson and Diaz",2021Q1,86264661,b43eb47c-245e-11ee-a984-b05216279b15
"Hoover, Hanson and Diaz",2022Q1,82680358,b43eb47c-245e-11ee-a984-b05216279b15
"Hoover, Hanson and Diaz",2023Q3,87495622,b43eb47c-245e-11ee-a984-b05216279b15
"Walker, Wright and Luna",2018Q1,119124903,b43ed006-245e-11ee-a984-b05216279b15
"Walker, Wright and Luna",2018Q2,71059690,b43ed006-245e-11ee-a984-b05216279b15
"Walker, Wright and Luna",2019Q2,69241673,b43ed006-245e-11ee-a984-b05216279b15
"Walker, Wright and Luna",2020Q4,54478059,b43ed006-245e-11ee-a984-b05216279b15
"Walker, Wright and Luna",2021Q1,136507971,b43ed006-245e-11ee-a984-b05216279b15
"Walker, Wright and Luna",2021Q2,66282164,b43ed006-245e-11ee-a984-b05216279b15
"Walker, Wright and Luna",2022Q4,50411816,b43ed006-245e-11ee-a984-b05216279b15
"Walker, Wright and Luna",2023Q1,133510717,b43ed006-245e-11ee-a984-b05216279b15
"Walker, Wright and Luna",2023Q3,124661227,b43ed006-245e-11ee-a984-b05216279b15
"Quinn, Williams and Kelley",2018Q1,133879766,b43eeef6-245e-11ee-a984-b05216279b15
"Quinn, Williams and Kelley",2019Q1,122590474,b43eeef6-245e-11ee-a984-b05216279b15
"Quinn, Williams and Kelley",2021Q2,57341224,b43eeef6-245e-11ee-a984-b05216279b15
"Quinn, Williams and Kelley",2022Q1,123272004,b43eeef6-245e-11ee-a984-b05216279b15
"Quinn, Williams and Kelley",2022Q3,127433829,b43eeef6-245e-11ee-a984-b05216279b15
"Quinn, Williams and Kelley",2022Q4,62587796,b43eeef6-245e-11ee-a984-b05216279b15
"Quinn, Williams and Kelley",2023Q3,124996246,b43eeef6-245e-11ee-a984-b05216279b15
Houston Ltd,2018Q2,77460794,b43f08be-245e-11ee-a984-b05216279b15
Houston Ltd,2019Q1,109905546,b43f08be-245e-11ee-a984-b05216279b15
Houston Ltd,2019Q4,89917554,b43f08be-245e-11ee-a984-b05216279b15
Houston Ltd,2020Q3,114584176,b43f08be-245e-11ee-a984-b05216279b15
Houston Ltd,2021Q4,68662769,b43f08be-245e-11ee-a984-b05216279b15
